上线机场,下线机场,出发日期,出发时刻,出发类型,出发航班,到达日期,到达时刻,到达类型,到达航班,区域,机体类别,登机口,终端厅,飞机型号,飞机转场记录号,精确到达时间,精确出发时间
CLL,IOM,2018/1/20,17:20:00,I,NV682,2018/1/20,7:20:00,I,NV659,North,N,T1,T,33L,PK471,2018/1/20 7:20,2018/1/20 17:20
DEH,DEH,2018/1/20,12:25:00,I,NV670,2018/1/20,7:00:00,I,NV665,North,N,T1,T,773,PK468,2018/1/20 7:00,2018/1/20 12:25
BNT,IOE,2018/1/20,13:00:00,I,NV640,2018/1/20,6:55:00,I,NV883,North,N,T1,T,33H,PK466,2018/1/20 6:55,2018/1/20 13:00
MBY,ZZA,2018/1/20,12:05:00,I,NV318,2018/1/20,6:25:00,I,NV689,North,N,T1,T,773,PK464,2018/1/20 6:25,2018/1/20 12:05
DHL,TJO,2018/1/20,14:35:00,I,NV676,2018/1/20,6:25:00,I,NV6181,North,N,T1,T,332,PK463,2018/1/20 6:25,2018/1/20 14:35
NFM,PSE,2018/1/20,11:40:00,I,NV828,2018/1/20,5:55:00,I,NV851,North,N,T1,T,773,PK461,2018/1/20 5:55,2018/1/20 11:40
DNC,UQF,2018/1/20,12:15:00,I,NV6118,2018/1/20,5:55:00,I,NV343,North,N,T1,T,33E,PK460,2018/1/20 5:55,2018/1/20 12:15
BLM,BLM,2018/1/21,0:55:00,I,NV880,2018/1/20,5:45:00,I,NV891,North,N,T1,T,773,PK458,2018/1/20 5:45,2018/1/21 0:55
TJO,UQF,2018/1/21,12:10:00,I,NV6118,2018/1/20,5:40:00,I,NV655,North,N,T1,T,332,PK457,2018/1/20 5:40,2018/1/21 12:10
NMF,NMF,2018/1/20,12:10:00,I,NV346,2018/1/20,5:35:00,I,NV347,North,N,T1,T,33L,PK456,2018/1/20 5:35,2018/1/20 12:10
KGL,OSU,2018/1/20,9:10:00,I,NV634,2018/1/20,5:15:00,I,NV309,North,N,T1,T,773,PK454,2018/1/20 5:15,2018/1/20 9:10
TZE,MBY,2018/1/20,13:20:00,I,NV694,2018/1/20,5:00:00,I,NV847,North,N,T1,T,773,PK453,2018/1/20 5:00,2018/1/20 13:20
TJO,DUT,2018/1/20,7:55:00,I,NV380,2018/1/20,4:10:00,I,NV677,North,N,T1,T,33L,PK449,2018/1/20 4:10,2018/1/20 7:55
TJO,TJO,2018/1/21,9:20:00,I,NV678,2018/1/20,21:30:00,I,NV679,North,N,T1,T,33E,PK411,2018/1/20 21:30,2018/1/21 9:20
IOE,DEH,2018/1/21,12:25:00,I,NV670,2018/1/20,21:05:00,I,NV651,North,N,T1,T,33H,PK400,2018/1/20 21:05,2018/1/21 12:25
COF,COF,2018/1/20,21:55:00,I,NV826,2018/1/20,20:00:00,I,NV827,North,N,T1,T,33E,PK382,2018/1/20 20:00,2018/1/20 21:55
NFM,TJO,2018/1/20,23:30:00,I,NV654,2018/1/20,19:40:00,I,NV849,North,N,T1,T,33E,PK377,2018/1/20 19:40,2018/1/20 23:30
TZE,GSB,2018/1/21,0:10:00,I,NV320,2018/1/20,19:30:00,I,NV673,North,N,T1,T,33E,PK373,2018/1/20 19:30,2018/1/21 0:10
ZZA,TZE,2018/1/21,0:05:00,I,NV846,2018/1/20,19:20:00,I,NV319,North,N,T1,T,773,PK370,2018/1/20 19:20,2018/1/21 0:05
PSE,DEH,2018/1/21,0:05:00,I,NV664,2018/1/20,18:50:00,I,NV829,North,N,T1,T,773,PK363,2018/1/20 18:50,2018/1/21 0:05
TGP,NFM,2018/1/21,0:20:00,I,NV840,2018/1/20,18:00:00,I,NV601,North,N,T1,T,773,PK349,2018/1/20 18:00,2018/1/21 0:20
MBY,MBY,2018/1/20,21:00:00,I,NV688,2018/1/20,17:50:00,I,NV697,North,N,T1,T,773,PK347,2018/1/20 17:50,2018/1/20 21:00
UQF,GDP,2018/1/21,12:30:00,I,NV898,2018/1/20,17:10:00,I,NV6119,North,N,T1,T,33E,PK340,2018/1/20 17:10,2018/1/21 12:30
ZWS,BNT,2018/1/21,0:15:00,I,NV882,2018/1/20,16:55:00,I,NV693,North,N,T1,T,33H,PK338,2018/1/20 16:55,2018/1/21 0:15
DUT,DNC,2018/1/21,13:40:00,I,NV342,2018/1/20,16:55:00,I,NV391,North,N,T1,T,33L,PK336,2018/1/20 16:55,2018/1/21 13:40
OSU,KGL,2018/1/20,20:00:00,I,NV308,2018/1/20,16:35:00,I,NV635,North,N,T1,T,773,PK333,2018/1/20 16:35,2018/1/20 20:00
IOM,DUT,2018/1/21,7:55:00,I,NV380,2018/1/20,16:20:00,I,NV683,North,N,T1,T,33L,PK328,2018/1/20 16:20,2018/1/21 7:55
TJO,NFM,2018/1/20,19:45:00,I,NV848,2018/1/20,15:30:00,I,NV657,North,N,T1,T,33E,PK316,2018/1/20 15:30,2018/1/20 19:45
GDP,TZE,2018/1/20,20:20:00,I,NV672,2018/1/20,15:00:00,I,NV899,North,N,T1,T,33E,PK308,2018/1/20 15:00,2018/1/20 20:20
DEH,TJO,2018/1/20,16:10:00,I,NV656,2018/1/20,14:50:00,I,NV681,North,N,T1,T,33H,PK304,2018/1/20 14:50,2018/1/20 16:10
GSB,IOE,2018/1/19,13:00:00,I,NV640,2018/1/19,7:40:00,I,NV331,North,N,T1,T,33E,PK224,2018/1/19 7:40,2018/1/19 13:00
CLL,TJO,2018/1/19,14:35:00,I,NV676,2018/1/19,7:20:00,I,NV659,North,N,T1,T,33L,PK223,2018/1/19 7:20,2018/1/19 14:35
MBY,ZZA,2018/1/19,12:05:00,I,NV318,2018/1/19,6:25:00,I,NV689,North,N,T1,T,773,PK217,2018/1/19 6:25,2018/1/19 12:05
NFM,PSE,2018/1/19,11:40:00,I,NV828,2018/1/19,5:55:00,I,NV851,North,N,T1,T,773,PK215,2018/1/19 5:55,2018/1/19 11:40
BLM,MBY,2018/1/19,13:20:00,I,NV694,2018/1/19,5:45:00,I,NV891,North,N,T1,T,773,PK213,2018/1/19 5:45,2018/1/19 13:20
KGL,OSU,2018/1/19,9:10:00,I,NV634,2018/1/19,5:15:00,I,NV309,North,N,T1,T,773,PK210,2018/1/19 5:15,2018/1/19 9:10
ZWS,ZWS,2018/1/19,13:30:00,I,NV692,2018/1/19,5:10:00,I,NV609,North,N,T1,T,33H,PK209,2018/1/19 5:10,2018/1/19 13:30
TZE,TGP,2018/1/20,14:20:00,I,NV690,2018/1/19,5:00:00,I,NV847,North,N,T1,T,773,PK208,2018/1/19 5:00,2018/1/20 14:20
TJO,DHL,2018/1/19,17:10:00,I,NV6170,2018/1/19,4:10:00,I,NV677,North,N,T1,T,332,PK205,2018/1/19 4:10,2018/1/19 17:10
IOE,GDP,2018/1/20,12:30:00,I,NV898,2018/1/19,21:05:00,I,NV651,North,N,T1,T,33E,PK159,2018/1/19 21:05,2018/1/20 12:30
COF,COF,2018/1/19,21:55:00,I,NV826,2018/1/19,20:00:00,I,NV827,North,N,T1,T,33E,PK140,2018/1/19 20:00,2018/1/19 21:55
NFM,TJO,2018/1/19,23:30:00,I,NV654,2018/1/19,19:40:00,I,NV849,North,N,T1,T,33E,PK135,2018/1/19 19:40,2018/1/19 23:30
TZE,GSB,2018/1/20,0:10:00,I,NV320,2018/1/19,19:30:00,I,NV673,North,N,T1,T,33E,PK131,2018/1/19 19:30,2018/1/20 0:10
ZZA,TZE,2018/1/20,0:05:00,I,NV846,2018/1/19,19:20:00,I,NV319,North,N,T1,T,773,PK129,2018/1/19 19:20,2018/1/20 0:05
NBE,ZWS,2018/1/20,0:20:00,I,NV608,2018/1/19,18:05:00,I,NV821,North,N,T1,T,33H,PK108,2018/1/19 18:05,2018/1/20 0:20
TGP,DEH,2018/1/20,0:05:00,I,NV664,2018/1/19,18:00:00,I,NV601,North,N,T1,T,773,PK107,2018/1/19 18:00,2018/1/20 0:05
MBY,NFM,2018/1/20,0:20:00,I,NV840,2018/1/19,17:50:00,I,NV697,North,N,T1,T,773,PK104,2018/1/19 17:50,2018/1/20 0:20
ZWS,MIS,2018/1/20,13:00:00,I,NV662,2018/1/19,16:55:00,I,NV693,North,N,T1,T,33H,PK094,2018/1/19 16:55,2018/1/20 13:00
DUT,CLL,2018/1/19,20:40:00,I,NV658,2018/1/19,16:55:00,I,NV391,North,N,T1,T,33L,PK093,2018/1/19 16:55,2018/1/19 20:40
OSU,MBY,2018/1/19,21:00:00,I,NV688,2018/1/19,16:35:00,I,NV635,North,N,T1,T,773,PK091,2018/1/19 16:35,2018/1/19 21:00
MIS,ZWS,2018/1/20,13:30:00,I,NV692,2018/1/19,16:30:00,I,NV663,North,N,T1,T,33H,PK089,2018/1/19 16:30,2018/1/20 13:30
IOM,IOM,2018/1/19,17:20:00,I,NV682,2018/1/19,16:20:00,I,NV683,North,N,T1,T,33L,PK086,2018/1/19 16:20,2018/1/19 17:20
TJO,NFM,2018/1/19,19:45:00,I,NV848,2018/1/19,15:30:00,I,NV657,North,N,T1,T,33E,PK071,2018/1/19 15:30,2018/1/19 19:45
GDP,TZE,2018/1/19,20:20:00,I,NV672,2018/1/19,15:00:00,I,NV899,North,N,T1,T,33E,PK064,2018/1/19 15:00,2018/1/19 20:20
DEH,KGL,2018/1/19,20:00:00,I,NV308,2018/1/19,14:50:00,I,NV681,North,N,T1,T,773,PK059,2018/1/19 14:50,2018/1/19 20:00
LVM,ILH,2018/1/21,9:35:00,I,GN922,2018/1/21,7:20:00,I,GN973,North,W,T2,T,73H,PK726,2018/1/21 7:20,2018/1/21 9:35
ILU,ILU,2018/1/21,19:30:00,I,GN942,2018/1/21,7:15:00,I,GN969,North,W,T2,T,73H,PK725,2018/1/21 7:15,2018/1/21 19:30
DSL,DOY,2018/1/21,10:10:00,I,NV316,2018/1/21,7:00:00,I,NV6157,North,W,T2,T,320,PK723,2018/1/21 7:00,2018/1/21 10:10
CLJ,CLL,2018/1/21,8:35:00,I,GN940,2018/1/21,5:55:00,I,GN979,North,W,T2,T,73H,PK717,2018/1/21 5:55,2018/1/21 8:35
QOI,PLB,2018/1/21,10:20:00,I,NV3196,2018/1/21,5:20:00,I,NV871,North,W,T2,T,320,PK713,2018/1/21 5:20,2018/1/21 10:20
LCW,CLL,2018/1/21,12:00:00,I,GN944,2018/1/21,5:00:00,I,GN991,North,W,T2,T,73H,PK709,2018/1/21 5:00,2018/1/21 12:00
LVM,CLL,2018/1/21,22:30:00,I,GN952,2018/1/21,21:30:00,I,GN997,North,W,T2,T,73H,PK667,2018/1/21 21:30,2018/1/21 22:30
CLL,ILU,2018/1/21,20:00:00,I,GN968,2018/1/21,18:50:00,I,GN951,North,W,T2,T,73H,PK621,2018/1/21 18:50,2018/1/21 20:00
QVT,CLJ,2018/1/21,19:45:00,I,GN978,2018/1/21,18:40:00,I,GN941,North,W,T2,T,73H,PK617,2018/1/21 18:40,2018/1/21 19:45
ILH,ILH,2018/1/21,18:30:00,I,NV834,2018/1/21,17:30:00,I,NV619,North,W,T2,T,325,PK601,2018/1/21 17:30,2018/1/21 18:30
JDO,SFQ,2018/1/21,18:40:00,I,NV624,2018/1/21,17:30:00,I,NV6145,North,W,T2,T,325,PK600,2018/1/21 17:30,2018/1/21 18:40
ILH,CLL,2018/1/21,18:30:00,I,GN964,2018/1/21,15:55:00,I,GN923,North,W,T2,T,73H,PK579,2018/1/21 15:55,2018/1/21 18:30
LNR,PLK,2018/1/21,17:35:00,I,NV638,2018/1/21,15:35:00,I,NV669,North,W,T2,T,319,PK574,2018/1/21 15:35,2018/1/21 17:35
LJY,ILH,2018/1/21,16:15:00,I,NV616,2018/1/21,14:55:00,I,NV337,North,W,T2,T,323,PK561,2018/1/21 14:55,2018/1/21 16:15
UTB,JDO,2018/1/21,14:45:00,I,GN938,2018/1/21,13:40:00,I,GN913,North,W,T2,T,73H,PK541,2018/1/21 13:40,2018/1/21 14:45
ILH,ILH,2018/1/21,13:15:00,I,NV610,2018/1/21,12:00:00,I,NV835,North,W,T2,T,325,PK527,2018/1/21 12:00,2018/1/21 13:15
NOM,ILH,2018/1/21,11:25:00,I,NV618,2018/1/21,10:20:00,I,NV323,North,W,T2,T,325,PK511,2018/1/21 10:20,2018/1/21 11:25
DFC,PLB,2018/1/20,10:20:00,I,NV3196,2018/1/20,8:35:00,I,NV6135,North,W,T2,T,320,PK475,2018/1/20 8:35,2018/1/20 10:20
LVM,CLL,2018/1/20,8:35:00,I,GN940,2018/1/20,7:20:00,I,GN973,North,W,T2,T,73H,PK470,2018/1/20 7:20,2018/1/20 8:35
ILU,LVM,2018/1/20,9:20:00,I,GN996,2018/1/20,6:30:00,I,GN943,North,W,T2,T,73H,PK465,2018/1/20 6:30,2018/1/20 9:20
QOI,ILH,2018/1/20,9:25:00,I,NV812,2018/1/20,5:20:00,I,NV871,North,W,T2,T,325,PK455,2018/1/20 5:20,2018/1/20 9:25
SFQ,JDO,2018/1/20,9:15:00,I,NV6152,2018/1/20,4:25:00,I,NV625,North,W,T2,T,325,PK450,2018/1/20 4:25,2018/1/20 9:15
CLL,LVM,2018/1/21,9:20:00,I,GN996,2018/1/20,22:10:00,I,GN945,North,W,T2,T,73H,PK421,2018/1/20 22:10,2018/1/21 9:20
LVM,CLL,2018/1/20,22:30:00,I,GN952,2018/1/20,21:30:00,I,GN997,North,W,T2,T,73H,PK409,2018/1/20 21:30,2018/1/20 22:30
DOY,DFC,2018/1/21,0:15:00,I,NV6134,2018/1/20,20:25:00,I,NV317,North,W,T2,T,320,PK391,2018/1/20 20:25,2018/1/21 0:15
ILH,NOM,2018/1/21,1:50:00,I,NV322,2018/1/20,20:10:00,I,NV621,North,W,T2,T,325,PK386,2018/1/20 20:10,2018/1/21 1:50
LJY,DSL,2018/1/20,23:10:00,I,NV6156,2018/1/20,19:20:00,I,NV337,North,W,T2,T,320,PK371,2018/1/20 19:20,2018/1/20 23:10
CLL,ILU,2018/1/20,20:00:00,I,GN968,2018/1/20,18:50:00,I,GN951,North,W,T2,T,73H,PK361,2018/1/20 18:50,2018/1/20 20:00
QVT,CLJ,2018/1/20,19:45:00,I,GN978,2018/1/20,18:40:00,I,GN941,North,W,T2,T,73H,PK358,2018/1/20 18:40,2018/1/20 19:45
ILH,SFQ,2018/1/20,18:40:00,I,NV624,2018/1/20,17:30:00,I,NV619,North,W,T2,T,325,PK344,2018/1/20 17:30,2018/1/20 18:40
JDO,JDO,2018/1/21,9:15:00,I,NV6152,2018/1/20,17:30:00,I,NV6145,North,W,T2,T,325,PK343,2018/1/20 17:30,2018/1/21 9:15
LJK,PLK,2018/1/20,17:35:00,I,NV638,2018/1/20,16:40:00,I,NV307,North,W,T2,T,319,PK334,2018/1/20 16:40,2018/1/20 17:35
ILH,JDO,2018/1/20,17:30:00,I,NV6162,2018/1/20,15:55:00,I,NV813,North,W,T2,T,325,PK324,2018/1/20 15:55,2018/1/20 17:30
CLL,CLL,2018/1/20,18:30:00,I,GN964,2018/1/20,15:40:00,I,GN965,North,W,T2,T,73H,PK318,2018/1/20 15:40,2018/1/20 18:30
UTB,LCW,2018/1/20,17:00:00,I,GN980,2018/1/20,15:25:00,I,GN931,North,W,T2,T,73H,PK314,2018/1/20 15:25,2018/1/20 17:00
ILH,ILH,2018/1/20,16:15:00,I,NV616,2018/1/20,14:50:00,I,NV613,North,W,T2,T,320,PK303,2018/1/20 14:50,2018/1/20 16:15
CLL,ILU,2018/1/20,19:30:00,I,GN942,2018/1/20,14:50:00,I,GN953,North,W,T2,T,73H,PK302,2018/1/20 14:50,2018/1/20 19:30
JDO,UQF,2018/1/20,15:45:00,I,NV6116,2018/1/20,14:00:00,I,NV6153,North,W,T2,T,325,PK292,2018/1/20 14:00,2018/1/20 15:45
UTB,JDO,2018/1/20,14:45:00,I,GN938,2018/1/20,13:40:00,I,GN913,North,W,T2,T,73H,PK287,2018/1/20 13:40,2018/1/20 14:45
ILH,LJY,2018/1/20,18:10:00,I,NV830,2018/1/20,12:00:00,I,NV835,North,W,T2,T,325,PK275,2018/1/20 12:00,2018/1/20 18:10
LJY,ILH,2018/1/20,13:15:00,I,NV610,2018/1/20,11:25:00,I,NV841,North,W,T2,T,325,PK274,2018/1/20 11:25,2018/1/20 13:15
IOE,JDO,2018/1/20,12:15:00,I,NV6144,2018/1/20,10:20:00,I,NV687,North,W,T2,T,325,PK261,2018/1/20 10:20,2018/1/20 12:15
NOM,ILH,2018/1/20,12:15:00,I,NV614,2018/1/20,10:20:00,I,NV323,North,W,T2,T,325,PK260,2018/1/20 10:20,2018/1/20 12:15
DFC,DOY,2018/1/19,10:10:00,I,NV316,2018/1/19,8:35:00,I,NV6135,North,W,T2,T,320,PK228,2018/1/19 8:35,2018/1/19 10:10
LVM,CLL,2018/1/19,8:35:00,I,GN940,2018/1/19,7:20:00,I,GN973,North,W,T2,T,73H,PK222,2018/1/19 7:20,2018/1/19 8:35
ILU,UTB,2018/1/19,9:10:00,I,GN912,2018/1/19,7:15:00,I,GN969,North,W,T2,T,73H,PK221,2018/1/19 7:15,2018/1/19 9:10
ILU,LVM,2018/1/19,9:20:00,I,GN996,2018/1/19,6:30:00,I,GN943,North,W,T2,T,73H,PK218,2018/1/19 6:30,2018/1/19 9:20
CLJ,CLL,2018/1/19,12:00:00,I,GN944,2018/1/19,5:55:00,I,GN979,North,W,T2,T,73H,PK214,2018/1/19 5:55,2018/1/19 12:00
QOI,PLB,2018/1/19,10:20:00,I,NV3196,2018/1/19,5:20:00,I,NV871,North,W,T2,T,325,PK211,2018/1/19 5:20,2018/1/19 10:20
SFQ,JDO,2018/1/19,9:15:00,I,NV6152,2018/1/19,4:25:00,I,NV625,North,W,T2,T,325,PK206,2018/1/19 4:25,2018/1/19 9:15
LVM,CLL,2018/1/19,22:30:00,I,GN952,2018/1/19,21:30:00,I,GN997,North,W,T2,T,73H,PK166,2018/1/19 21:30,2018/1/19 22:30
DOY,DFC,2018/1/20,0:15:00,I,NV6134,2018/1/19,20:25:00,I,NV317,North,W,T2,T,320,PK149,2018/1/19 20:25,2018/1/20 0:15
ILH,NOM,2018/1/20,1:50:00,I,NV322,2018/1/19,20:10:00,I,NV621,North,W,T2,T,325,PK144,2018/1/19 20:10,2018/1/20 1:50
CLL,ILU,2018/1/19,20:00:00,I,GN968,2018/1/19,18:50:00,I,GN951,North,W,T2,T,73H,PK122,2018/1/19 18:50,2018/1/19 20:00
QVT,CLJ,2018/1/19,19:45:00,I,GN978,2018/1/19,18:40:00,I,GN941,North,W,T2,T,73H,PK118,2018/1/19 18:40,2018/1/19 19:45
ILH,SFQ,2018/1/19,18:40:00,I,NV624,2018/1/19,17:30:00,I,NV619,North,W,T2,T,325,PK101,2018/1/19 17:30,2018/1/19 18:40
JDO,QOI,2018/1/19,20:00:00,I,NV860,2018/1/19,17:30:00,I,NV6145,North,W,T2,T,325,PK100,2018/1/19 17:30,2018/1/19 20:00
PLB,JDO,2018/1/19,17:30:00,I,NV6162,2018/1/19,16:30:00,I,NV3197,North,W,T2,T,325,PK087,2018/1/19 16:30,2018/1/19 17:30
LNR,IJK,2018/1/19,17:40:00,I,NV304,2018/1/19,15:35:00,I,NV669,North,W,T2,T,319,PK075,2018/1/19 15:35,2018/1/19 17:40
ILH,ILH,2018/1/19,16:15:00,I,NV616,2018/1/19,14:50:00,I,NV613,North,W,T2,T,321,PK057,2018/1/19 14:50,2018/1/19 16:15
UTB,ILU,2018/1/19,19:30:00,I,GN942,2018/1/19,13:40:00,I,GN913,North,W,T2,T,73H,PK040,2018/1/19 13:40,2018/1/19 19:30
ILH,ILH,2018/1/19,13:15:00,I,NV610,2018/1/19,11:55:00,I,NV835,North,W,T2,T,325,PK026,2018/1/19 11:55,2018/1/19 13:15
LJY,PLB,2018/1/19,13:10:00,I,NV398,2018/1/19,11:25:00,I,NV841,North,W,T2,T,325,PK025,2018/1/19 11:25,2018/1/19 13:10
IOE,ILH,2018/1/19,11:25:00,I,NV618,2018/1/19,10:20:00,I,NV687,North,W,T2,T,325,PK011,2018/1/19 10:20,2018/1/19 11:25
LVM,ILH,2018/1/21,9:35:00,I,GN922,2018/1/21,7:20:00,I,GN973,North,W,T3,T,73H,PK726,2018/1/21 7:20,2018/1/21 9:35
ILU,ILU,2018/1/21,19:30:00,I,GN942,2018/1/21,7:15:00,I,GN969,North,W,T3,T,73H,PK725,2018/1/21 7:15,2018/1/21 19:30
DSL,DOY,2018/1/21,10:10:00,I,NV316,2018/1/21,7:00:00,I,NV6157,North,W,T3,T,320,PK723,2018/1/21 7:00,2018/1/21 10:10
CLJ,CLL,2018/1/21,8:35:00,I,GN940,2018/1/21,5:55:00,I,GN979,North,W,T3,T,73H,PK717,2018/1/21 5:55,2018/1/21 8:35
QOI,PLB,2018/1/21,10:20:00,I,NV3196,2018/1/21,5:20:00,I,NV871,North,W,T3,T,320,PK713,2018/1/21 5:20,2018/1/21 10:20
LCW,CLL,2018/1/21,12:00:00,I,GN944,2018/1/21,5:00:00,I,GN991,North,W,T3,T,73H,PK709,2018/1/21 5:00,2018/1/21 12:00
LVM,CLL,2018/1/21,22:30:00,I,GN952,2018/1/21,21:30:00,I,GN997,North,W,T3,T,73H,PK667,2018/1/21 21:30,2018/1/21 22:30
CLL,ILU,2018/1/21,20:00:00,I,GN968,2018/1/21,18:50:00,I,GN951,North,W,T3,T,73H,PK621,2018/1/21 18:50,2018/1/21 20:00
QVT,CLJ,2018/1/21,19:45:00,I,GN978,2018/1/21,18:40:00,I,GN941,North,W,T3,T,73H,PK617,2018/1/21 18:40,2018/1/21 19:45
ILH,ILH,2018/1/21,18:30:00,I,NV834,2018/1/21,17:30:00,I,NV619,North,W,T3,T,325,PK601,2018/1/21 17:30,2018/1/21 18:30
JDO,SFQ,2018/1/21,18:40:00,I,NV624,2018/1/21,17:30:00,I,NV6145,North,W,T3,T,325,PK600,2018/1/21 17:30,2018/1/21 18:40
ILH,CLL,2018/1/21,18:30:00,I,GN964,2018/1/21,15:55:00,I,GN923,North,W,T3,T,73H,PK579,2018/1/21 15:55,2018/1/21 18:30
LNR,PLK,2018/1/21,17:35:00,I,NV638,2018/1/21,15:35:00,I,NV669,North,W,T3,T,319,PK574,2018/1/21 15:35,2018/1/21 17:35
LJY,ILH,2018/1/21,16:15:00,I,NV616,2018/1/21,14:55:00,I,NV337,North,W,T3,T,323,PK561,2018/1/21 14:55,2018/1/21 16:15
UTB,JDO,2018/1/21,14:45:00,I,GN938,2018/1/21,13:40:00,I,GN913,North,W,T3,T,73H,PK541,2018/1/21 13:40,2018/1/21 14:45
ILH,ILH,2018/1/21,13:15:00,I,NV610,2018/1/21,12:00:00,I,NV835,North,W,T3,T,325,PK527,2018/1/21 12:00,2018/1/21 13:15
NOM,ILH,2018/1/21,11:25:00,I,NV618,2018/1/21,10:20:00,I,NV323,North,W,T3,T,325,PK511,2018/1/21 10:20,2018/1/21 11:25
DFC,PLB,2018/1/20,10:20:00,I,NV3196,2018/1/20,8:35:00,I,NV6135,North,W,T3,T,320,PK475,2018/1/20 8:35,2018/1/20 10:20
LVM,CLL,2018/1/20,8:35:00,I,GN940,2018/1/20,7:20:00,I,GN973,North,W,T3,T,73H,PK470,2018/1/20 7:20,2018/1/20 8:35
ILU,LVM,2018/1/20,9:20:00,I,GN996,2018/1/20,6:30:00,I,GN943,North,W,T3,T,73H,PK465,2018/1/20 6:30,2018/1/20 9:20
QOI,ILH,2018/1/20,9:25:00,I,NV812,2018/1/20,5:20:00,I,NV871,North,W,T3,T,325,PK455,2018/1/20 5:20,2018/1/20 9:25
SFQ,JDO,2018/1/20,9:15:00,I,NV6152,2018/1/20,4:25:00,I,NV625,North,W,T3,T,325,PK450,2018/1/20 4:25,2018/1/20 9:15
CLL,LVM,2018/1/21,9:20:00,I,GN996,2018/1/20,22:10:00,I,GN945,North,W,T3,T,73H,PK421,2018/1/20 22:10,2018/1/21 9:20
LVM,CLL,2018/1/20,22:30:00,I,GN952,2018/1/20,21:30:00,I,GN997,North,W,T3,T,73H,PK409,2018/1/20 21:30,2018/1/20 22:30
DOY,DFC,2018/1/21,0:15:00,I,NV6134,2018/1/20,20:25:00,I,NV317,North,W,T3,T,320,PK391,2018/1/20 20:25,2018/1/21 0:15
ILH,NOM,2018/1/21,1:50:00,I,NV322,2018/1/20,20:10:00,I,NV621,North,W,T3,T,325,PK386,2018/1/20 20:10,2018/1/21 1:50
LJY,DSL,2018/1/20,23:10:00,I,NV6156,2018/1/20,19:20:00,I,NV337,North,W,T3,T,320,PK371,2018/1/20 19:20,2018/1/20 23:10
